#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
ZC|1061|42.42183|113.32422|1187.0|1061|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1062|42.41703|113.32226|1193.0|1062|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1063|42.41319|113.34419|1201.0|1063|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1064|42.40933|113.35528|1198.0|1064|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1065|42.40558|113.36617|1214.0|1065|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1066|42.40175|113.37717|1218.0|1066|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1067|42.39872|113.38739|1230.0|1067|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1068|42.39575|113.40014|1230.0|1068|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1069|42.393|113.41169|1235.0|1069|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1070|42.39025|113.42322|1242.0|1070|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1071|42.38756|113.43442|1233.0|1071|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1072|42.38475|113.44633|1236.0|1072|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1073|42.37939|113.45589|1239.0|1073|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1074|42.37217|113.46325|1253.0|1074|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1075|42.365|113.47047|1252.0|1075|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1077|42.36062|113.48619|1271.0|1077|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1078|42.35436|113.49507|1284.0|1078|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1079|42.35094|113.5045|1301.0|1079|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1080|42.34548|113.51414|1307.0|1080|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1081|42.33752|113.5216|1309.0|1081|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1082|42.33773|113.53352|1307.0|1082|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1083|42.33855|113.54569|1317.0|1083|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1084|42.34048|113.5575|1326.0|1084|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1085|42.34157|113.56947|1338.0|1085|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1086|42.34345|113.5813|1343.0|1086|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1087|42.34479|113.59293|1348.0|1087|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1088|42.34099|113.604|1315.0|1088|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1089|42.3394|113.61594|1289.0|1089|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1090|42.33727|113.63377|1261.0|1090|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1091|42.33383|113.6515|1246.0|1091|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1092|42.32959|113.66209|1239.0|1092|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1093|42.32489|113.67247|1235.0|1093|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1094|42.31787|113.68807|1241.0|1094|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1095|42.31088|113.7036|1148.0|1095|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1096|42.30597|113.71451|1249.0|1096|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1097|42.30151|113.72434|1252.0|1097|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1098|42.29672|113.73462|1277.0|1098|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1099|42.29122|113.74399|1274.0|1099|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1100|42.2854|113.75333|1276.0|1100|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1101|42.2796|113.76262|1290.0|1101|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1102|42.27445|113.77252|1296.0|1102|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1103|42.27047|113.78339|1296.0|1103|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|1104|42.26665|113.79431|1303.0|1104|2009-12-07T00:00:00|2009-12-10T10:00:00
ZC|2101|42.28543|113.75338|1265.0|2101|2009-12-12T12:00:00|2009-12-15T10:00:00
ZC|2102|42.27969|113.76266|1281.0|2102|2009-12-12T12:00:00|2009-12-15T10:00:00
ZC|2103|42.2745|113.77252|1285.0|2103|2009-12-12T12:00:00|2009-12-15T10:00:00
ZC|2104|42.27049|113.78346|1288.0|2104|2009-12-12T12:00:00|2009-12-15T10:00:00
ZC|2105|42.26671|113.79436|1295.0|2105|2009-12-12T12:00:00|2009-12-15T10:00:00
ZC|3061|42.42183|113.32422|1187.0|3061|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3062|42.41703|113.32226|1193.0|3062|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3063|42.41319|113.34419|1201.0|3063|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3064|42.40933|113.35528|1198.0|3064|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3065|42.40558|113.36617|1214.0|3065|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3066|42.40175|113.37717|1218.0|3066|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3067|42.39872|113.38739|1230.0|3067|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3068|42.39575|113.40014|1230.0|3068|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3069|42.393|113.41169|1235.0|3069|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3070|42.39025|113.42322|1242.0|3070|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3071|42.38756|113.43442|1233.0|3071|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3072|42.38475|113.44633|1236.0|3072|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3073|42.37939|113.45589|1239.0|3073|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3074|42.37217|113.46325|1253.0|3074|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3075|42.365|113.47047|1252.0|3075|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3076|42.34542|113.51415|1310.0|3076|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3077|42.33785|113.53366|1312.0|3077|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3078|42.34058|113.55772|1328.0|3078|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3079|42.34349|113.58125|1346.0|3079|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3080|42.34106|113.60403|1316.0|3080|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3081|42.33805|113.628|1265.0|3081|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3082|42.33383|113.6515|1243.0|3082|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3083|42.32494|113.67253|1231.0|3083|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3084|42.31558|113.69333|1243.0|3084|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3085|42.30606|113.71438|1240.0|3085|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3086|42.2968|113.7346|1266.0|3086|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3087|42.28541|113.75341|1258.0|3087|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3088|42.27444|113.77245|1273.0|3088|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|3089|42.26668|113.7944|1284.0|3089|2009-12-17T14:00:00|2009-12-21T03:00:00
ZC|4063|42.26676|113.79434|1307.0|4063|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4064|42.27054|113.78347|1302.0|4064|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4065|42.27453|113.77255|1300.0|4065|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4066|42.27967|113.7627|1291.0|4066|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4067|42.28539|113.75333|1276.0|4067|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4068|42.2911|113.74407|1272.0|4068|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4069|42.29675|113.73454|1279.0|4069|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4070|42.3016|113.72439|1256.0|4070|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4071|42.30626|113.71409|1254.0|4071|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4072|42.31107|113.70342|1251.0|4072|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4073|42.31555|113.69322|1257.0|4073|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4074|42.32028|113.68285|1240.0|4074|2009-12-24T13:00:00|2009-12-27T09:00:00
ZC|4075|42.32491|113.67246|1246.0|4075|2009-12-24T13:00:00|2009-12-27T09:00:00

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|RCF0A|40.567567567567565|112.03890948689461|1536.0|Raspberry Shake Citizen Science Station|2024-05-28T17:15:08|2024-05-28T17:31:37
AM|RD3C0|39.612612612612615|109.76630333764254|1180.0|Raspberry Shake Citizen Science Station|2023-06-23T22:08:01|2023-10-01T10:39:16
AM|RD3C0|39.612612612612615|109.76630333764254|1180.0|Raspberry Shake Citizen Science Station|2023-10-01T10:39:16|2023-10-01T11:48:29
AM|RD3C0|39.612612612612615|109.76630333764254|1180.0|Raspberry Shake Citizen Science Station|2023-10-01T11:48:29|2024-02-13T12:10:14
AM|RD3C0|39.5945945945946|109.78992948887017|1179.0|Raspberry Shake Citizen Science Station|2024-02-13T12:10:14|2024-02-13T12:37:04
AM|RD3C0|39.5945945945946|109.78992948887017|1180.0|Raspberry Shake Citizen Science Station|2024-02-13T12:37:04|2599-12-31T23:59:59
